No	| English	| Vietnamese
2851	| succeed	| nối tiếp, kế tiếp; kế nghiệp, kế vị
2852	| success	| sự thành công, sự thành đạt
2853	| successful	| thành công, thắng lợi, thành đạt
2854	| successfully	| thành công, thắng lợi, thành đạt
2855	| such	| như thế, như vậy, như là. such as đến nỗi, đến mức
2856	| suck	| bú, hút; hấp thụ, tiếp thu
2857	| sudden	| thình lình, đột ngột
2858	| suddenly	| thình lình, đột ngột
2859	| suf	| phố, đường phố
2860	| suffer	| chịu đựng, chịu thiệt hại, đấu khổ
2861	| suffering	| sự đau đớn, sự đau khổ
2862	| sufficient	| (+ for) đủ, thích đáng
2863	| sufficiently	| đủ, thích đáng
2864	| sugar	| đường
2865	| suggest	| đề nghị, đề xuất; gợi
2866	| suggestion	| sự đề nghị, sự đề xuất, sự khêu gợi
2867	| suit	| bộ com lê, trang phục; thích hợp, quen, hợp với
2868	| suitable	| hợp, phù hợp, thích hợp với
2869	| suitcase	| va li
2870	| suited	| hợp, phù hợp, thích hợp với
2871	| sum	| tổng, toàn bộ
2872	| summary	| bản tóm tắt
2873	| summer	| mùa hè
2874	| sun	| mặt trời
2875	| sunday	| chủ nhật
2876	| superior	| cao, chất lượng cao
2877	| supermarket	| siêu thị
2878	| supply	| sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
2879	| support	| sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
2880	| supporter	| vật chống đỡ; người cổ vũ, người ủng hộ
2881	| suppose	| cho rằng, tin rằng, nghĩ rằng
2882	| sure	| chắc chắn, xác thực. make sure chắc chắn, làm cho chắc chắn
2883	| surely	| chắc chắn
2884	| surface	| mặt, bề mặt
2885	| surname	| họ
2886	| surprise	| sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
2887	| surprised	| ngạc nhiên (+ at)
2888	| surprising	| làm ngạc nhiên, làm bất ngờ
2889	| surprisingly	| làm ngạc nhiên, làm bất ngờ
2890	| surround	| vây quanh, bao quanh
2891	| surrounding	| sự vây quanh, sự bao quanh
2892	| surroundings	| vùng xung quanh, môi trường xung quanh
2893	| survey	| sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
2894	| survive	| sống lâu hơn, tiếp tục sống, sống sót
2895	| suspect	| nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
2896	| suspicion	| sự nghi ngờ, sự ngờ vực
2897	| suspicious	| có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
2898	| swallow	| nuốt, nuốt chửng
2899	| swear	| chửi rủa, nguyền rủa; thề, hứa
2900	| swearing	| lờithề,lờinguyềnrủa,lờithềhứa
2901	| sweat	| mồ hôi; đổ mồ hôi
2902	| sweater	| người ra mồ hôi,, kẻ bóc lột lấo động
2903	| sweep	| quét
2904	| sweet	| ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
2905	| swell	| phồng, sưng lên
2906	| swelling	| sự sưng lên, sự phồng ra
2907	| swim	| bơi lội
2908	| swimming	| sự bơi lội
2909	| swimming pool	| bể nước
2910	| swing	| sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
2911	| switch	| côngtắc, roi;tắt,bật,đánh bằnggậy,roi. switchsthoffngắtđiện. switchsthon bậtđiện
2912	| swollen	| sưng phồng, phình căng
2913	| swollen swell	| phồng lên, sưng lên
2914	| symbol	| biểu tượng, ký hiệu
2915	| sympathetic	| đồngcảm,đángmến,dễthương
2916	| sympathy	| sự đồng cảm, sự đồng ý
2917	| system	| hệ thống, chế độ
2918	| table	| cái bàn
2919	| tablet	| tấm, bản,thẻphiến
2920	| tackle	| giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
2921	| tail	| đuôi, đoạn cuối
2922	| take	| sự cầm nắm, sự lấy. take sth off: cởi, bỏ cái gì, lấy đi cái gì
2923	| take care of	| sự giữ gìn. care for trông nom, chăm sóc
2924	| take part in	| tham gia (vào)
2925	| take sth over	| chở, chuyển cái gì; tiếp quản, kế tục cái gì
2926	| talk	| nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
2927	| tall	| cao
2928	| tank	| thùng, két, bể
2929	| tap	| mở vòi, đóng vòi; vòi, khóa
2930	| tape	| băng, băng ghi âm; dải, dây
2931	| target	| bia, mục tiêu, đích
2932	| task	| nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
2933	| taste	| vị, vị giác; nếm
2934	| tax	| thuế; đánh thuế
2935	| taxi	| xe tắc xi
2936	| tea	| cây chè, trà, chè
2937	| teach	| dạy
2938	| teacher	| giáo viên
2939	| teaching	| sự dạy, công việc dạy học
2940	| team	| đội, nhóm
2941	| tear	| xé, làm rắch; chỗ rách, miếng xe; nước mắt
2942	| technical	| (thuộc) kỹ thuật, chuyên môn
2943	| technique	| kỹ sảo, kỹ thuật, phương pháp kỹ thuật
2944	| technology	| kỹ thuật học, công nghệ học
2945	| telephone (phone)	| máy điện thoại, gọi điện thoại
2946	| television (tv)	| vô tuyếntruyềnhình
2947	| tell	| nói, nói với
2948	| temperature	| nhiệt độ
2949	| temporarily	| tạm
2950	| temporary	| tạm thời, nhất thời
2951	| tend	| trôngnom,chămsóc,giữgìn,hầuhạ
2952	| tendency	| xu hướng, chiều hướng, khuynh hướng
2953	| tension	| sự căng, độ căng, tình trạng căng
2954	| tent	| lều, rạp
2955	| term	| giớihạn,kỳhạn,khóa,kỳhọc
2956	| terrible	| khủng khiếp, ghê sợ
2957	| terribly	| tồi tệ, không chịu nổi
2958	| test	| bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
2959	| text	| nguyên văn, bản văn, chủ đề, đề
2960	| than	| hơn
2961	| thank	| cám ơn
2962	| thank you	| cảm ơn bạn (ông bà, anh chị...)
2963	| thanks	| sự cảm ơn, lời cảm ơn
2964	| that	| người ấy, đó, vật ấy, đó; rằng, là
2965	| the	| cái, con, người, ấy này....
2966	| theatre	| rạp hát, nhà hát
2967	| their	| của chúng, của chúng nó, của họ
2968	| theirs	| của chúng, của chúng nó, của họ
2969	| them	| chúng, chúng nó, họ
2970	| theme	| đề tài, chủ đề
2971	| themselves	| tự chúng, tự họ, tự
2972	| then	| khi đó, lúc đó, tiếp đó
2973	| theory	| lý thuyết, học thuyết
2974	| there	| ở nơi đó, tại nơi đó
2975	| therefore	| bởi vậy, cho nên, vì thế
2976	| they	| chúng, chúng nó, họ; những cái ấ
2977	| thick	| dày; đậm
2978	| thickly	| dày; dày đặc; thành lớp dày
2979	| thickness	| tính chất dày, độ dày, bề dày
2980	| thief	| kẻ trộm, kẻ cắp
2981	| thin	| mỏng, mảnh
2982	| thing	| cái, đồ, vật
2983	| think	| nghĩ, suy nghĩ
2984	| thinking	| sự suy nghĩ, ý nghĩ
2985	| thirsty	| khát,cảmthấykhát
2986	| this	| cái này, điều này, việc này
2987	| thorough	| cẩn thận, kỹ lưỡng
2988	| thoroughly	| kỹ lưỡng, thấu đáo, triệt để
2989	| though	| dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
2990	| thought	| sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
2991	| thread	| chỉ, sợi chỉ, sợi dây
2992	| threat	| sự đe dọa, lời đe dọa
2993	| threaten	| dọa, đe dọa
2994	| threatening	| sự đe dọa, sự hăm dọa
2995	| throat	| cổ, cổ họng
2996	| through	| qua, xuyên qua
2997	| throughout	| khắp, suốt
2998	| throw	| ném, vứt, quăng. throw sth away: ném đi, vứt đi, liệng đi
2999	| thumb	| ngón tay cái
3000	| thursday (abbr thur, thurs)	| thứ 5
3001	| thus	| như vậy, như thế, do đó
3002	| ticket	| vé
3003	| tidy	| sạch sẽ,ngăn nắp,gọngàng; làmchosạch sẽ, gọngàng, ngănnắp
3004	| tie	| buộc, cột, trói; dây buộc, dây trói, dây giày. tie sth up có quan hệ mật thiết, gắn chặt
3005	| tight	| kín, chặt, chật
3006	| tightly	| chặt chẽ, sít sao
3007	| till, until	| chođến khi, tớilúcmà
3008	| time	| thời gian, thì giờ
3009	| timetable	| kế hoạch làm việc, thời gian biểu
3010	| tin	| thiếc
3011	| tiny	| rất nhỏ, nhỏ xíu
3012	| tip	| đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
3013	| tire	| làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
3014	| tired	| mệt, muốn ngủ, nhàm chán
3015	| tiring	| sự mệt mỏi, sự mệt nhọc
3016	| title	| đầu đề, tiêu đề; tước vị, tư cách
3017	| to	| theo hướng, tới
3018	| today	| vào ngày này; hôm nay, ngày nay
3019	| toe	| ngón chân (người)
3020	| together	| cùng nhau, cùng với
3021	| toilet	| nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
3022	| tomato	| cà chua
3023	| tomorrow	| vào ngày mai; ngày mai
3024	| ton	| tấn
3025	| tone	| tiếng, giọng
3026	| tongue	| lưỡi
3027	| tonight	| vào đêm nay, vào tối nay; đêm nay, tối nay
3028	| tonne	| tấn
3029	| too	| cũng
3030	| tool	| dụng cụ, đồ dùng
3031	| tooth	| răng
3032	| top	| chóp, đỉnh; đứng đầu, trên hết
3033	| topic	| đề tài, chủ đề
3034	| total	| tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
3035	| totally	| hoàn toàn
3036	| touch	| sờ, mó, tiếp xúc; sự sờ, sự mó, s tiếp xúc
3037	| tough	| chắc, bền, dai
3038	| tour	| cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
3039	| tourist	| khách du lịch
3040	| towards	| theo hướng, về hướng
3041	| towel	| khăn tắm, khăn lấu
3042	| tower	| tháp
3043	| town	| thịtrấn,thịxã,thànhphốnhỏ
3044	| toy	| đồ chơi, đồ trang trí; thể loại đồ chơi
3045	| trace	| phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
3046	| track	| phầncủa đĩa;đườngmòn,đườngđua
3047	| trade	| thương mại, buôn bán; buôn bán, trao đổi
3048	| trading	| sự kinh doanh, việc mua bán
3049	| tradition	| truyền thống
3050	| traditional	| theo truyền thống, theo lối cổ
3051	| traditionally	| (thuộc) truyền thống, là truyền thống
3052	| traffic	| sự đi lại, sự giaothông,sựchuyểnđộng
3053	| train	| xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
3054	| training	| sự dạy dỗ, sựhuấnluyện,sự đào tạo
3055	| transfer	| dời, di chuyển; sự di chuyển, sự dời chỗ
3056	| transform	| thay đổi, biến đổi
3057	| translate	| dịch, biên dịch, phiên dịch
3058	| translation	| sự dịch
3059	| transparent	| trong suốt; dễ hiểu, sáng sủa
3060	| transport	| sự vận chuyển, sự vận tải; phương tiện đi lại
3061	| trap	| đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
3062	| travel	| đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
3063	| traveller	| người đi, lữ khách
3064	| treat	| đối xử, đối đãi, cư xử
3065	| treatment	| sự đối xử, sự cư xử
3066	| tree	| cây
3067	| trend	| phương hướng, xu hướng, chiều hướng
3068	| trial	| sự thử nghiệm, cuộc thử nghiệm
3069	| triangle	| hình tam giác
3070	| trick	| mưu mẹo, thủ đoạn, trò lừa gạt, lừa gạt
3071	| trip	| cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
3072	| tropical	| nhiệt đới
3073	| trouble	| điều lo lắng, điều muộn phiền
3074	| trousers	| quần tây
3075	| truck	| sự trao đổi, sự đổi chác
3076	| truly	| đúng sự thật, đích thực, thực sự
3077	| trust	| niềm tin, sự phó thác; tin, tin cậy, phó thác
3078	| truth	| sự thật
3079	| try	| thử, cố gắng
3080	| tube	| ống, tuýp
3081	| tuesday (abbr tue, tues)	| thứ 3
3082	| tune	| điệu, giai điệu; lên dây, so dây (đàn)
3083	| tunnel	| đường hầm, hang
3084	| turn	| quay, xoay, vặn; sự quay, vòng quay
3085	| tv television	| vô tuyếntruyềnhình
3086	| twice	| hai lần
3087	| twin	| sinh đôi, tạo thành cặp; cặp song sinh
3088	| twist	| xoắn, cuộn, quắn; sự xoắn, vòng xoắn
3089	| twisted	| được xoắn, được cuộn
3090	| type	| loại, kiểu,mẫu;phânloại,xếploại
3091	| typical	| tiêu biểu, điển hình, đặc trưng
3092	| typically	| điển hình, tiêu biểu
3093	| tyre	| lốp, vỏ xe
3094	| ugly	| xấu xí, xấu xa
3095	| ultimate	| cuối cùng, sau cùng
3096	| ultimately	| cuối cùng, sau cùng
3097	| umbrella	| ô, dù
3098	| unable	| không có năng lực, không có tài, không thể, không có khẳ năng
3099	| unacceptable	| không chấp nhận được
3100	| unacceptable, acceptable	| không thể chấp nhận
3101	| uncertain	| thiếu chính xác, không chắc chắn
3102	| uncertain, certain	| không chắc chắn, khôn biết rõ ràng
3103	| uncle	| chú, bác
3104	| uncomfortable	| bất tiện, khó chịu, không thoải má
3105	| uncomfortable,comfortable	| bất tiện, không tiện lợi
3106	| unconscious	| bất tỉnh, không có ý thức, không biết rõ
3107	| unconscious, conscious	| bất tỉnh, ngất đi
3108	| uncontrolled	| khôngbị điềukhiển,khôngbị kiểmtra,khôngbịhạnchế
3109	| uncontrolled, control	| không bị kiềm chế, không bị kiểm tra
3110	| under	| dưới,ởdưới;ởphíadưới,vềphíadưới
3111	| underground	| dưới mặt đất, ngầm dưới đất; ngầm
3112	| underneath	| dưới, bên dưới
3113	| understand	| hiểu, nhận thức
3114	| understanding	| trí tuệ, sự hiểu biết
3115	| underwater	| ở dưới mặt nước, dưới mặt nước
3116	| underwear	| quần lót
3117	| undo	| tháo, gỡ; xóa bỏ, hủy bỏ
3118	| unemployed	| thất nghiệp; không dùng, không sử dụng được
3119	| unemployment	| sự thất nghiệp, nạn thất nghiệp
3120	| unexpected	| bất ngờ, gây ngạc nhiên
3121	| unexpectedly	| bất ngờ, gây ngạc nhiên
3122	| unfair	| gianlận, khôngcôngbằng;bấtlợi
3123	| unfair, unfairly	| không đúng, không công bằng, gian lận
3124	| unfairly	| gianlận, khôngcôngbằng;bấtlợi
3125	| unfortunate	| không may, rủi ro, bất hạnh
3126	| unfortunately	| một cách đáng tiếc, một cách không may
3127	| unfriendly	| không thân thiện, không có thiện cảm
3128	| unhappiness	| nỗi buồn, sự bất hạnh
3129	| unhappy	| buồn rầu, khốn khổ
3130	| uniform	| đồngphục;đều,giốngnhấu,đồng dạng
3131	| unimportant	| khônh quan trọng, không trọng đạ
3132	| union	| liên hiệp, sự đoàn kết, sự hiệp nhất
3133	| unique	| độc nhất vô nhị
3134	| unit	| đơn vị
3135	| unite	| liên kết, hợp nhất, hợp lại, kết thâ
3136	| united	| liên minh, đoàn kết, chung, thống nhất
3137	| universe	| vũ trụ
3138	| university	| trường đại học
3139	| unkind	| độc ác, tàn nhẫn
3140	| unknown	| không biết
3141	| unless	| trừ phi, trừ khi, nếu không
3142	| unlike	| khác, không giống
3143	| unlikely	| không thể xảy ra, không chắc xảy ra
3144	| unload	| cất gánh nặng, dỡ hàng
3145	| unlucky	| không gặp may, bất hạnh
3146	| unnecessary	| không cần thiết, không mong muốn
3147	| unpleasant	| không dễ chịu, khó chịu, khó ưa
3148	| unreasonable	| vô lý
3149	| unsteady	| không chắc, không ổn định
3150	| unsuccessful	| không thành công, thất bại
3151	| untidy	| không gọn gàng, không ngăn nắp lộn xộn
3152	| until, till	| trước khi, cho đến khi
3153	| unusual	| hiếm, khác thường
3154	| unusually	| cực kỳ, khác thường
3155	| unwilling	| khôngmuốn,khôngcó ýđịnh
3156	| unwillingly	| không sẵn lòng, miễn cưỡng
3157	| up	| ở trên, lên trên, lên
3158	| upon	| trên, ở trên
3159	| upper	| cao hơn
3160	| upset	| làm đổ, đánh đổ
3161	| upsetting	| tính đánh đổ, làm đổ
3162	| upside down	| lộn ngược
3163	| upstairs	| ở tên gác, cư ngụ ở tầng gác; tần trên, gác
3164	| upward	| lên, hướng lên, đi lên
3165	| upwards	| lên,hướnglên,đilên,vềphíatrên
3166	| urban	| (thuộc) thành phố, khu vực
3167	| urge	| thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
3168	| urgent	| gấp, khẩn cấp
3169	| us	| chúng tôi, chúng ta
3170	| useful	| hữu ích, giúp ích
3171	| usual	| thông thường, thường dùng
3172	| usually	| thường thường
3173	| vacation	| kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
3174	| valid	| chắc chắn, hiệu quả, hợp lý
3175	| valley	| thung lũng
3176	| valuable	| có giá trị lớn, đáng giá
3177	| value	| giá trị, ước tính, định giá
3178	| van	| tiền đội, quân tiên phong; xe tải
3179	| variation	| sự biến đổi, sự thay đổi mức độ, sự khác nhau
3180	| varied	| thuộcnhiềuloạikhácnhau,những vẻđadạng
3181	| variety	| sự đa dạng, trạng thái khác nhau
3182	| various	| khác nhau, thuộc về nhiều loại
3183	| vary	| thay đổi, làm cho khác nhau, biến đổi
3184	| vast	| rộng lớn, mênh mông
3185	| vegetable	|  rau, thực vật
3186	| vehicle	| xe cộ
3187	| venture	| dự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
3188	| version	| bản dịchsangmộtngônngữkhác
3189	| vertical	| thẳng đứng, đứng
3190	| very	| rất, lắm
3191	| via	| qua, theo đường
3192	| victim	| nạn nhân
3193	| victory	| chiến thắng
3194	| video	| video
3195	| view	| sự nhìn, tầm nhìn; nhìn thấy, xem quan sát
3196	| village	| làng, xã
3197	| violence	| sự ác liệt, sự dữ dội; bạo lực
3198	| violent	| mãnh liệt, mạnh mẽ, hung dữ
3199	| violently	| mãnh liệt, dữ dội
3200	| virtually	| thực sự, hầu như, gần như
3201	| virus	| vi rút
3202	| visible	| hữu hình, thấy được
3203	| vision	| sự nhìn, thị lực
3204	| visit	| đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
3205	| visitor	| khách, du khách
3206	| vital	| (thuộc) sự sống, cần cho sự sống
3207	| vocabulary	| từ vựng
3208	| voice	| tiếng, giọng nói
3209	| volume	| thế tích, quyển, tập
3210	| vote	| sự bỏphiếu,sự bầu cử; bỏphiếu,bầucử
3211	| wage	| tiền lương, tiền công
3212	| waist	| eo, chỗ thắt lưng
3213	| wait	| chờ đợi
3214	| waiter, waitress	| người hầu bàn, người đợi, người trông chờ
3215	| wake up	| thức dậy, tỉnh thức
3216	| walk	| đi, đi bộ; sự đi bộ, sự đi dạo
3217	| walking	| sự đi, sự đi bộ
3218	| wall	| tường, vách
3219	| wallet	| cái ví
3220	| wander	| đi lang thang; sự đi lang thang
3221	| want	| muốn
3222	| war	| chiến tranh
3223	| warm	| ấm, ấm áp; làm cho nóng, hâm nóng
3224	| warmth	| trạng thái ấm, sự ấm áp; hơi ấm
3225	| warn	| báo cho biết, cảnh báo
3226	| warning	| sự báo trước, lời cảnh báo
3227	| wash	| rửa, giặt
3228	| washing	| sự tắm rửa, sự giặt
3229	| waste	| lãngphí,uổngphí;vùnghoangvusa mạc; bỏhoang
3230	| watch	| nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
3231	| water	| nước
3232	| wave	| sóng, gợn nước; gợn sóng, uốn thành sóng
3233	| way	| đường, đường đi
3234	| we	| chúng tôi, chúng ta
3235	| weak	| yếu, yếu ớt
3236	| weakness	| tình trạng yếu đuối, yếu ớt
3237	| wealth	| sự giàu có, sự giàu sang
3238	| weapon	| vũ khí
3239	| wear	| mặc, mang, đeo
3240	| weather	| thời tiết
3241	| web	| mạng, lưới
3242	| website	| không gian liên tới với internet
3243	| wedding	| lễ cưới, hôn lễ
3244	| wednesday	| thứ 4
3245	| week	| tuần, tuần lễ
3246	| weekend	| cuối tuần
3247	| weekly	| mỗi tuần một lần, hàng tuần
3248	| weigh	| cân, cân nặng
3249	| weight	| trọng lượng
3250	| welcome	|  chào mừng, hoan nghênh
3251	| well	|  tốt, giỏi; ôi, may quá!
3252	| well known	| nổi tiếng, được nhiều người biết đến
3253	| west	| phíatây,theophíatây,vềhướngtây
3254	| western	| về phía tây, của phía tây
3255	| wet	| ướt, ẩm ướt
3256	| what	| gì, thế nào
3257	| whatever	| bất cứ thứ gì, bất kể thứ gì
3258	| wheel	| bánh xe
3259	| when	| khi, lúc, vào lúc nào
3260	| whenever	| bất cứ lúc nào, lúc nào
3261	| where	| đâu, ở đâu; nơi mà
3262	| whereas	| nhưng trái lại, trong khi mà
3263	| wherever	| ở bất cứ nơi nào, ở bất cứ nơi đâ
3264	| whether	| có..không;có...chăng;khôngbiếtcó..không
3265	| which	| nào, bất cứ.. nào; ấy, đó
3266	| while	| trong lúc, trong khi; lúc, chốc, lát
3267	| whilst	| trong lúc, trong khi
3268	| whistle	| sự huýt sáo, sựthổicòi;huýtsáo,thổicòi
3269	| white	| trắng; màu trắng
3270	| who	| ai, người nào, kẻ nào, người như thế nào
3271	| whoever	| ai, người nào, bất cứ ai, bất cứ người nào, dù ai
3272	| whole	| bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
3273	| whom	| ai, người nào; người mà
3274	| whose	| của ai
3275	| why	| tại sao, vì sao
3276	| wide	| rộng, rộng lớn
3277	| widely	| nhiều, xa; rộng rãi
3278	| width	| tính chất rộng, bề rộng
3279	| wife	| vợ
3280	| wild	| dại, hoang
3281	| wildly	| dại, hoang
3282	| will	| sẽ; ý chí, ý định
3283	| willing	| bằng lòng, vui lòng, muốn
3284	| willingly	| sẵn lòng, tự nguyện
3285	| willingness	| sự bằng lòng, sự vui lòng
3286	| win	| chiếm, đọat, thu được
3287	| wind	| quấn lại, cuộn lại. wind sth up: lên dây, quấn, giải quyết
3288	| window	| cửa sổ
3289	| wine	| rượu, đồ uống
3290	| wing	| cánh, sự bay, sự cất cánh
3291	| winner	| người thắng cuộc
3292	| winning	| đang dành thắng lợi, thắng cuộc
3293	| winter	| mùa đông
3294	| wire	| dây (kim loại)
3295	| wise	| khônngoan,sáng suốt,thôngthái
3296	| wish	| ước, mong muốn; sự mong ước, lòng mong muốn
3297	| with	| với, cùng
3298	| withdraw	| rút, rút khỏi, rút lui
3299	| within	| trongvongthờigian,trongkhoảngthờigian
3300	| without	| không, không có
3301	| witness	| sự làm chứng, bằng chứng; chứng kiến, làm chứng
3302	| woman	| đàn bà, phụ nữ
3303	| wonder	| ngạc nhiên, lấy làm lạ, kinh ngạc
3304	| wonderful	| phithường, khác thường,kỳdiệu,tuyệtvời
3305	| wood	| gỗ
3306	| wooden	| làm bằng gỗ
3307	| wool	| len
3308	| work	| làm việc, sự làm việc
3309	| worker	| người lao động
3310	| working	| sự làm, sự làm việc
3311	| world	| thế giới
3312	| worried	| bồn chồn, lo nghĩ, tỏ ra lo lắng.
3313	| worry	| lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
3314	| worrying	| gây lo lắng, gây lo nghĩ
3315	| worse, worst	| xấu
3316	| worship	| sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
3317	| worth	| đáng giá, có giá trị
3318	| would	| sẽ
3319	| wound	| vết thương, thương tích; làm bị thường, gây thương tích
3320	| wounded	| bị thương
3321	| wrap	| gói, bọc, quấn
3322	| wrapping	| vật bao bọc, vật quấn quanh
3323	| wrist	| cổ tay
3324	| write	| viết
3325	| writer	| người viết
3326	| writing	| sự viết
3327	| written	| viết ra, được thảo ra
3328	| wrong	| sai. go wrong mắc lỗi, sai lầm
3329	| wrongly	| một cách bấtcông,khôngđúng
3330	| yard	| sân,thướcanh (bằng0, 914mét)
3331	| yawn	| há miệng; cử chỉ ngáp
3332	| yeah	| vâng, ư
3333	| year	| năm
3334	| yellow	| vàng; màu vàng
3335	| yes	| vâng, phải, có chứ
3336	| yesterday	| hôm qua
3337	| yet	| còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên
3338	| you	| anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày
3339	| young	| trẻ, trẻ tuổi, thanh niên
3340	| your	| củaanh,củachị,củangài,củamày;củacácanh,củacác chị,củacác ngài, của chúng mày
3341	| yours sincerely	| bạn chân thành của anh, chị.. (viế ở cuối thư)
3342	| yours truly	| lời kết thúc thư (bạn chân thành của...)
3343	| yourself	| tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
3344	| youth	| tuổitrẻ,tuổixuân,tuổithanh niên,tuổiniênthiếu
3345	| zero number	| số không
3346	| zone	| khu vực, miền, vùng
